[Script Info]
; Script generated by Aegisub 3.2.2
; http://www.aegisub.org/
Title: HorribleSubs
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 1280
PlayResY: 720
ScaledBorderAndShadow: yes
YCbCr Matrix: TV.601

[Aegisub Project Garbage]
Last Style Storage: Prince Of Stride
Audio File: [HorribleSubs] Ao no Exorcist - Kyoto Fujouou-hen - 06 [720p].mkv
Video File: [HorribleSubs] Ao no Exorcist - Kyoto Fujouou-hen - 06 [720p].mkv
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 369
Active Line: 378
Video Position: 35152

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Up,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,8,15,15,15,1
Style: Default,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,2,15,15,15,1
Style: Title,Hacen Beirut,60,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2,0,9,15,15,15,1
Style: Staff,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,7,30,30,30,1
Style: Group,Spawned,60,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2,2,7,30,30,30,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:04:12.79,0:04:17.63,Default,NTP,0,0,0,,{\i1}،منذ وَقتها، توَارثت طائفة الميودا النّصل كموضوع عِبادتها الرّئيسيّ{\i0}
Dialogue: 0,0:04:17.63,0:04:19.92,Default,NTP,0,0,0,,{\i1}،أبقت العين اليُمنى مَختومةً بعيداً{\i0}
Dialogue: 0,0:04:19.92,0:04:23.97,Default,NTP,0,0,0,,{\i1}.و كانت لها قاعدةٌ صارمةٌ بشأن بقائها مَعزولةً عن بقيّة العالَم{\i0}
Dialogue: 0,0:04:24.76,0:04:31.35,Default,NTP,0,0,0,,{\i1}.بعدها، كما لَو كان يَسخر من كلّ هذا، ظهَر أمامي{\i0}
Dialogue: 0,0:04:31.89,0:04:36.06,Default,NTP,0,0,0,,ما-ماذا تقول؟\N!هذا الموضوع الرّئيسيّ للعبادة لَدى طائفة الميودا
Dialogue: 0,0:04:36.44,0:04:39.32,Default,NTP,0,0,0,,!توَقّف عن الثّرثرة! أعلَم هذا، يا قُبّة الكروم
Dialogue: 0,0:04:39.32,0:04:42.20,Default,NTP,0,0,0,,على أيّة حال، هذا الشّيء فارغ، صحيح؟
Dialogue: 0,0:04:42.99,0:04:46.37,Default,NTP,0,0,0,,!كيف تجرؤ على الحديث عن أشياءٍ لا تفهمها
Dialogue: 0,0:04:46.37,0:04:46.95,Default,NTP,0,0,0,,!ياوزو
Dialogue: 0,0:04:47.12,0:04:51.16,Default,NTP,0,0,0,,حتى متى تنوي القيام بتدنيس أثرنا المُقدّس، أيّها السّارق؟
Dialogue: 0,0:04:56.04,0:04:57.50,Default,NTP,0,0,0,,هل أصبتَه، ياوزو؟
Dialogue: 0,0:04:57.67,0:04:59.25,Default,NTP,0,0,0,,!هذا هو عزيزنا ياوزو
Dialogue: 0,0:04:59.75,0:05:01.55,Default,NTP,0,0,0,,...كـ-كلّا، هذ لَم يكن أنا
Dialogue: 0,0:05:01.80,0:05:04.18,Default,NTP,0,0,0,,!كان هذا المَجنون مُصاباً بشدّةٍ طوال هذا الوَقت
Dialogue: 0,0:05:04.34,0:05:05.51,Default,NTP,0,0,0,,ماذا؟
Dialogue: 0,0:05:05.93,0:05:08.47,Default,NTP,0,0,0,,.مُتفاجئٌ لتمكّنه من الحركة حتّى مع هذه الجّروح
Dialogue: 0,0:05:08.47,0:05:10.47,Default,NTP,0,0,0,,من هذا الرّجل؟
Dialogue: 0,0:05:10.93,0:05:13.69,Default,NTP,0,0,0,,ماذا ترغب بأن نفعل به، تاتسوما ساما؟
Dialogue: 0,0:05:18.06,0:05:19.15,Default,NTP,0,0,0,,هل استيقظت؟
Dialogue: 0,0:05:19.90,0:05:26.11,Default,NTP,0,0,0,,.شيرو فوجيموتو، مُعوّذٌ خبيرٌ من المرتبة الأُولى\N.نِظام الصّليب الحقيقيّ، فِرع اليابان
Dialogue: 0,0:05:30.12,0:05:31.45,Default,NTP,0,0,0,,أين أنا؟
Dialogue: 0,0:05:32.00,0:05:34.41,Default,NTP,0,0,0,,.فودوبو-جي، كونغو شينزان
Dialogue: 0,0:05:34.62,0:05:36.37,Default,NTP,0,0,0,,.لَقد انهرت
Dialogue: 0,0:05:36.37,0:05:39.46,Default,NTP,0,0,0,,.لَم نتمكّن من ترككَ هكذا، لذا أحضرناكَ إلى المَعبد
Dialogue: 0,0:05:39.46,0:05:43.47,Default,NTP,0,0,0,,هل تمزح؟\N!كان عليكم فقط تركي حيث كُنت
Dialogue: 0,0:05:43.47,0:05:45.34,Default,NTP,0,0,0,,أنتَ رقيق القلب بالفِعل، صحيح؟
Dialogue: 0,0:05:46.93,0:05:49.10,Default,NTP,0,0,0,,أوه، هل معكَ وَلّاعة؟
Dialogue: 0,0:05:50.43,0:05:51.47,Default,NTP,0,0,0,,...هاي، ماذا أنتَ
Dialogue: 0,0:05:51.47,0:05:52.97,Default,NTP,0,0,0,,.يُمكن لهذا الإنتظار، فوجيموتو
Dialogue: 0,0:05:54.10,0:05:58.02,Default,NTP,0,0,0,,كم تعرف عن أثرنا المقدّس حقّاً... عن كوريكارا؟
Dialogue: 0,0:05:58.23,0:06:00.11,Default,NTP,0,0,0,,لماذا تُريد أن تأخذه؟
Dialogue: 0,0:06:00.11,0:06:03.65,Default,NTP,0,0,0,,.كما لَو أنّني أعلَم. أتيتُ إلى هُنا فقط بأوامر من مُدرائي
Dialogue: 0,0:06:03.65,0:06:07.28,Default,NTP,0,0,0,,...لكنّني أظنّهم سيستخدمونه لقتل طِفل
Dialogue: 0,0:06:08.16,0:06:10.33,Default,NTP,0,0,0,,{\i1}قتل... طِفل؟{\i0}
Dialogue: 0,0:06:10.95,0:06:13.16,Default,NTP,0,0,0,,{\i1}!قال هذا دون أن ترفّ عينه{\i0}
Dialogue: 0,0:06:13.70,0:06:16.75,Default,NTP,0,0,0,,!إن كان بإمكانكَ أن تتحرّك، عليّ أن أطلُب منكَ المُغادرة بالحال
Dialogue: 0,0:06:16.75,0:06:21.00,Default,NTP,0,0,0,,!مهما كانت الظّروف، لا يُمكنني الإعتناء بقاتل طِفل
Dialogue: 0,0:06:21.00,0:06:25.01,Default,NTP,0,0,0,,.لا تقلَق، سأُغادر\N.بعد أن آخذ نَصل الشّيطان
Dialogue: 0,0:06:25.01,0:06:26.51,Default,NTP,0,0,0,,ألَم تتخلّى عن هذا؟
Dialogue: 0,0:06:27.22,0:06:30.35,Default,NTP,0,0,0,,!لا تملك فِكرةً عن أين يُمكن أن يكون في الفودوبو-جي
Dialogue: 0,0:06:30.72,0:06:34.43,Default,NTP,0,0,0,,.لا تقلَق، سأقتحم فقط جميع مَعابدكم حتّى أجده
Dialogue: 0,0:06:34.43,0:06:38.48,Default,NTP,0,0,0,,.كلّا، لا يُوجد وَقتٌ لهذا على الأرجح\N.سيكون من الأسرَع إن سألتكَ فقط
Dialogue: 0,0:06:38.85,0:06:41.06,Default,NTP,0,0,0,,لذا أخبرني. أين النّصل؟
Dialogue: 0,0:06:41.06,0:06:42.94,Default,NTP,0,0,0,,{\i1}...هـ-هذا الرّجل{\i0}
Dialogue: 0,0:06:45.90,0:06:48.86,Default,NTP,0,0,0,,هيّا الآن، حقّاً؟\Nهل تُريد أن تُقاتلَني بهذا؟
Dialogue: 0,0:06:48.86,0:06:50.49,Default,NTP,0,0,0,,.توَقّف عن هذا قبل أن تتأذّى
Dialogue: 0,0:06:55.83,0:06:56.87,Default,NTP,0,0,0,,!هاي! إنتظر
Dialogue: 0,0:06:58.04,0:06:58.87,Default,NTP,0,0,0,,...إلى أين أنتَ
Dialogue: 0,0:07:00.54,0:07:02.04,Default,NTP,0,0,0,,...كلّا، هذا\N!لا تدخل هناك
Dialogue: 0,0:07:04.13,0:07:04.75,Default,NTP,0,0,0,,...ماذا
Dialogue: 0,0:07:05.88,0:07:07.97,Default,NTP,0,0,0,,ما-ما هذا بحقّ الله؟
Dialogue: 0,0:07:09.22,0:07:10.18,Default,NTP,0,0,0,,!أوقِفوا هذا
Dialogue: 0,0:07:12.01,0:07:13.47,Default,NTP,0,0,0,,ماذا تظنّ نفسكَ فاعلاً؟
Dialogue: 0,0:07:13.47,0:07:15.85,Default,NTP,0,0,0,,!إخرس! ضعوا حدّاً لهذه المهزلة بالحال
Dialogue: 0,0:07:16.35,0:07:18.81,Default,NTP,0,0,0,,!أيّها الوَحش\Nهل تعلَم ماذا فعلت؟
Dialogue: 0,0:07:18.81,0:07:23.77,Default,NTP,0,0,0,,!إن توَقّفنا عن مُناجاة بوذا، سيتركنا و يسحب منّا قوّته
Dialogue: 0,0:07:23.77,0:07:27.32,Default,NTP,0,0,0,,!إذاً أجِب على سُؤالي هذا\Nهل ساعدت كلّ صلاتكم هؤلاء الأشخاص؟
Dialogue: 0,0:07:28.36,0:07:30.41,Default,NTP,0,0,0,,...أنتَ جبانٌ تلعب دور قدّيس
Dialogue: 0,0:07:30.41,0:07:32.95,Default,NTP,0,0,0,,!أنتَ من نوع الأشخاص الذين أكرههم أكثر شيء
Dialogue: 0,0:07:33.66,0:07:35.58,Default,NTP,0,0,0,,!هؤلاء الأشخاص قد تجاوزوا مرحلة مُساعدة الصّلاة لهم
Dialogue: 0,0:07:35.58,0:07:38.58,Default,NTP,0,0,0,,!عليكم إخراج السّموم التي تصنع التّلوّث من أجسادهم في الحال
Dialogue: 0,0:07:38.91,0:07:40.71,Default,NTP,0,0,0,,هـ-هل يُمكنكَ مُساعدتهم؟
Dialogue: 0,0:07:40.71,0:07:44.00,Default,NTP,0,0,0,,.نعم! يُمكنني إنقاذهم جميعاً. كما أظنّ
Dialogue: 0,0:07:44.84,0:07:48.63,Default,NTP,0,0,0,,...أنتَ هناك! أحضر لي الفِجل، البَصل، دواء شِفاء كلّ شيء، جِذر كلاموس، حجرٌ صخريّ
Dialogue: 0,0:07:48.63,0:07:50.80,Default,NTP,0,0,0,,!أوه، و بعض فُلفُل مَخلب النّسر الحارّ
Dialogue: 0,0:07:51.43,0:07:54.97,Default,NTP,0,0,0,,!أيضاً، بعض الفازلين أو شمع العسل أو شحم خنزير
Dialogue: 0,0:07:54.97,0:07:56.60,Default,NTP,0,0,0,,...أمم، نعم
Dialogue: 0,0:07:56.60,0:07:57.97,Default,NTP,0,0,0,,هل سيُنقذهم هذا؟
Dialogue: 0,0:07:57.97,0:08:01.48,Default,NTP,0,0,0,,!لا تدَعني أُعيد ما قُلتُه\N!بالنّسبة لك، سخّن الكثير من الماء
Dialogue: 0,0:08:01.48,0:08:02.60,Default,NTP,0,0,0,,...أيضاً
Dialogue: 0,0:08:03.56,0:08:04.98,Default,NTP,0,0,0,,.يُمكنني أن أستخدم تلك الوَلّاعة
Dialogue: 0,0:08:06.32,0:08:07.44,Default,NTP,0,0,0,,{\i1}...إن هذا{\i0}
Dialogue: 0,0:08:08.11,0:08:10.07,Default,NTP,0,0,0,,{\i1}...إن ساعدهم هذا حقّاً{\i0}
Dialogue: 0,0:08:10.95,0:08:12.24,Default,NTP,0,0,0,,{\i1}...إذاً ماذا كنّا{\i0}
Dialogue: 0,0:08:14.62,0:08:15.45,Default,NTP,0,0,0,,...توراكو
Dialogue: 0,0:08:17.08,0:08:19.04,Default,NTP,0,0,0,,...تاتسوما، أنا
Dialogue: 0,0:08:19.58,0:08:20.41,Default,NTP,0,0,0,,...تـ
Dialogue: 0,0:08:21.25,0:08:22.25,Default,NTP,0,0,0,,...تو
Dialogue: 0,0:08:23.21,0:08:25.09,Default,NTP,0,0,0,,!توراكو
Dialogue: 0,0:08:29.01,0:08:30.22,Default,NTP,0,0,0,,...تاتسوما
Dialogue: 0,0:08:30.22,0:08:34.89,Default,NTP,0,0,0,,!ظـ-ظننتُ حقّاً بأنّها كانت نهايتي
Dialogue: 0,0:08:37.14,0:08:41.02,Default,NTP,0,0,0,,هل... سأتمكّن من إنجاب طِفلٍ حقّاً؟
Dialogue: 0,0:08:41.02,0:08:42.44,Default,NTP,0,0,0,,!بالتّأكيد
Dialogue: 0,0:08:42.60,0:08:45.48,Default,NTP,0,0,0,,!حمداً لله... أشعر بالكثير من الرّاحة
Dialogue: 0,0:08:47.40,0:08:49.36,Default,NTP,0,0,0,,!شُكراً لك، فوجيموتو
Dialogue: 0,0:08:49.36,0:08:50.90,Default,NTP,0,0,0,,،عندما ظهرتَ لسرِقة النّصل
Dialogue: 0,0:08:50.90,0:08:53.41,Default,NTP,0,0,0,,!ظننتُكَ لِصّاً من نوعٍ ما
Dialogue: 0,0:08:53.41,0:08:55.66,Default,NTP,0,0,0,,!لَقد كنتُ مُخطئاً بشأنكَ بالفِعل
Dialogue: 0,0:08:55.66,0:08:56.28,Default,NTP,0,0,0,,هاه؟
Dialogue: 0,0:08:57.28,0:09:01.37,Default,NTP,0,0,0,,.لا علاقة لهذا بذاك\N.أعطِني النّصل
Dialogue: 0,0:09:01.83,0:09:04.96,Default,NTP,0,0,0,,.أعني، لَقد أنقذتُ كلّ تلك الأرواح بالفِعل
Dialogue: 0,0:09:04.96,0:09:06.96,Default,NTP,0,0,0,,.و علّمتكم العِلاج حتّى
Dialogue: 0,0:09:06.96,0:09:09.84,Default,NTP,0,0,0,,أستحقّ شيئاً صغيراً على تعَبي، صحيح؟
Dialogue: 0,0:09:10.21,0:09:11.42,Default,NTP,0,0,0,,تاتسوما؟
Dialogue: 0,0:09:11.42,0:09:13.68,Default,NTP,0,0,0,,أُ-أُحصلي على بعض الرّاحة، حسناً؟
Dialogue: 0,0:09:16.55,0:09:18.26,Default,NTP,0,0,0,,!ظننتكَ كنتَ شخصاً جيّداً
Dialogue: 0,0:09:18.26,0:09:22.39,Default,NTP,0,0,0,,...يا إلهي، أنتَ بالفِعل من نوع الأشخاص الذين أكرههم أكثر شيء
Dialogue: 0,0:09:22.85,0:09:24.94,Default,NTP,0,0,0,,.ثِق بي، لَستُ كذلك
Dialogue: 0,0:09:25.10,0:09:27.27,Default,NTP,0,0,0,,.إن لَم تكن ستُساعدني، سأجده بنفسي
Dialogue: 0,0:09:28.98,0:09:32.44,Default,NTP,0,0,0,,.لَن تصل إلى شيءٍ إن كنتَ تخشى أن تُلَوّث يَديك
Dialogue: 0,0:09:36.74,0:09:37.70,Default,NTP,0,0,0,,أبي؟
Dialogue: 0,0:09:37.70,0:09:39.08,Default,NTP,0,0,0,,.هذا هو
Dialogue: 0,0:09:39.08,0:09:40.37,Default,NTP,0,0,0,,!إقبضوا عليه
Dialogue: 0,0:09:45.42,0:09:46.46,Default,NTP,0,0,0,,...ماذا أنت
Dialogue: 0,0:09:47.58,0:09:49.00,Default,NTP,0,0,0,,!يُحاول الهرب\N!إتبعوه
Dialogue: 0,0:09:49.25,0:09:51.84,Default,NTP,0,0,0,,!لا تسمحوا لذلك اللّصّ بمُغادرة هذا الجّبل على قيد الحياة
Dialogue: 0,0:09:52.21,0:09:54.17,Default,NTP,0,0,0,,...أبي، ماذا تفعل؟ ذلك الرّجل
Dialogue: 0,0:09:54.17,0:09:57.47,Default,NTP,0,0,0,,!تاتسوما! لا تظنّ بأنّ إخفاقكَ هذا سيمرّ دون عِقاب
Dialogue: 0,0:09:57.84,0:10:00.81,Default,NTP,0,0,0,,مُعوّذٌ من نِظام الصّليب الحقيقيّ؟
Dialogue: 0,0:10:00.81,0:10:04.43,Default,NTP,0,0,0,,!أحضرتَ مَبعوثاً من هؤلاء الكُفّار إلى مَعبدنا و جعلته يقوم بسِحره الكريه
Dialogue: 0,0:10:04.43,0:10:07.77,Default,NTP,0,0,0,,!أنتَ مُخطئ\N!أبي، لَقد أنقذ ذلك الرّجل الكثير من الأرواح
Dialogue: 0,0:10:07.77,0:10:10.57,Default,NTP,0,0,0,,!لَقد أنقذَهم... لَقد أنقذَ توراكو
Dialogue: 0,0:10:10.57,0:10:12.98,Default,NTP,0,0,0,,!هذا لا يصنع فرقاً
Dialogue: 0,0:10:12.98,0:10:16.36,Default,NTP,0,0,0,,،الغُرباء الذين يعرفون شيئاً عن نَصل الشّيطان و أسرار طائفة الميودا
Dialogue: 0,0:10:16.86,0:10:18.57,Default,NTP,0,0,0,,!يجب أن يُقتَلوا
Dialogue: 0,0:10:20.03,0:10:22.83,Default,NTP,0,0,0,,!لَديّ مَسؤوليّة حماية طائفة الميودا
Dialogue: 0,0:10:24.45,0:10:28.12,Default,NTP,0,0,0,,.أبي، ما تحميه هي قوانينها
Dialogue: 0,0:10:28.58,0:10:29.71,Default,NTP,0,0,0,,...أنا
Dialogue: 0,0:10:32.05,0:10:33.42,Default,NTP,0,0,0,,!لَستُ مِثلك
Dialogue: 0,0:10:34.42,0:10:36.34,Default,NTP,0,0,0,,تاتسوما! إلى أين ستذهب؟
Dialogue: 0,0:10:36.34,0:10:37.43,Default,NTP,0,0,0,,!تاتسوما
Dialogue: 0,0:10:40.43,0:10:42.64,Default,NTP,0,0,0,,!لَقد ذهب من هناك-\N!لا تسمحوا له بالهرب-
Dialogue: 0,0:10:42.64,0:10:44.85,Default,NTP,0,0,0,,!تبّاً، هؤلاء الأشخاص لا يستسلِمون
Dialogue: 0,0:10:45.60,0:10:47.48,Default,NTP,0,0,0,,!لَقد فتَحتُ جُرحي، سُحقاً
Dialogue: 0,0:10:48.73,0:10:49.77,Default,NTP,0,0,0,,!فوجيموتو
Dialogue: 0,0:10:50.73,0:10:51.86,Default,NTP,0,0,0,,تاتسوما؟
Dialogue: 0,0:10:51.86,0:10:52.86,Default,NTP,0,0,0,,.خُذه
Dialogue: 0,0:10:55.94,0:10:57.28,Default,NTP,0,0,0,,نَصل الشّيطان؟
Dialogue: 0,0:10:57.70,0:11:00.41,Default,NTP,0,0,0,,.سأدلّكَ على الطّريق. إتبعني
Dialogue: 0,0:11:00.41,0:11:01.66,Default,NTP,0,0,0,,!هاي، إنتظر
Dialogue: 0,0:11:02.41,0:11:04.37,Default,NTP,0,0,0,,لماذا؟ هل أنتَ وَاثقٌ من هذا؟
Dialogue: 0,0:11:04.91,0:11:07.41,Default,NTP,0,0,0,,.لا بأس. عرفتُ منذ البداية
Dialogue: 0,0:11:07.62,0:11:11.88,Default,NTP,0,0,0,,.عندما كنتُ طِفلاً، سحبتُ ذلك النّصل بالسرّ مرّةً
Dialogue: 0,0:11:11.88,0:11:13.17,Default,NTP,0,0,0,,.أردتّ أن أرى كارورا
Dialogue: 0,0:11:14.00,0:11:16.92,Default,NTP,0,0,0,,.لكن لَم يخرج أيّ شيء\N.لَيس كارورا، أو اللّهب، لا شيء
